branch_id,branch_ref,branch_state,tip_commit,reachable_commit_count
B19,refs/remotes/origin/dependabot/composer/nyholm/psr7-1.6.1,stale-origin-tracking,dbaab1da6ffb37601bcf937df1f230fe1cd21be0,1294
B20,refs/remotes/origin/dependabot/composer/phpseclib/phpseclib-3.0.19,stale-origin-tracking,e2a109d469627e0bee6b6242530380d9b2e22807,1297
B21,refs/remotes/origin/dependabot/npm_and_yarn/multi-a50d7f32cf,stale-origin-tracking,51887848750bcf8c24d22d40c588fc5d6f3fe4f4,2337
B22,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/jquery-ui/body-parser-1.20.3,stale-origin-tracking,3ed7c8dbefba51cfc8a74dbf77e9dc26bad490a5,2478
B23,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/jquery-ui/express-4.22.0,stale-origin-tracking,ebe9b13dc341357cddda4b419bd49fe48f9c187e,2409
B24,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/tabulator/js-yaml-4.1.1,stale-origin-tracking,cc26f6d5f6089356f21a0c33f23a980eaf98e5ab,2374
B25,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/tabulator/lodash-4.17.23,stale-origin-tracking,88e85c9513558e5e9e2e5838f7b5c94d8266450e,2455
B26,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/tabulator/multi-10567fddad,stale-origin-tracking,2258139871968a342253642244f49a5a207bd98a,2241
B27,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/is-my-json-valid-2.20.6,stale-origin-tracking,89a5cd650e433d9d23dac8f00db450fad1adb51a,2202
B28,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/lodash-4.17.23,stale-origin-tracking,aa376500b98fee8da1e57c25403579fbaae0b290,2455
B29,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-072e377670,stale-origin-tracking,99aad64f6b234a70413b43581e6012120a701f59,2192
B30,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-0f25528451,stale-origin-tracking,f754cdcd266a5df7604236144076786a6a63a9ca,2192
B31,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-4e6cc25ef3,stale-origin-tracking,cd408fbb37c967eabacebc365d75d0872a38a0b3,2192
B32,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-75e6bc5210,stale-origin-tracking,6e187e8748db2d294f41f885ecc63e7d9f4c44eb,2385
B33,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-a17d469be7,stale-origin-tracking,a81e8ac0f8bf60f37b3456271c697fbf4e203a8a,2192
B34,refs/remotes/origin/dependabot/npm_and_yarn/public/assets/third_party/x-editable/multi-f18a2d7430,stale-origin-tracking,c96fb485e2538981aa2ad1b005db1b2645be0fbf,2192
B35,refs/remotes/origin/dev,stale-origin-tracking,58def981f1415e04f701b00f33b9ad5eac5797a8,279
B36,refs/remotes/origin/docs/rebuild-documentation-audit,origin-live,60ff474a674ffc9638be0e3d9486ff87c6fa129e,2581
B37,refs/remotes/origin/main,origin-live,27939f7331dda7595eb3026684db6ab74b9c1e18,5
B38,refs/remotes/origin/master,origin-live,38b1e50014f97e47ddc670bed29c66e2fbb69852,2602
